"1","Garia",51.8017,8.1525
"2","Mantan",52.4443,8.1318
"3","Janguine",52.1817,8.7317
"4","Desevro",51.8389,8.0321
"5","K'ath",51.6855,8.3732
"6","Siluria III",52.2849,8.7132
"7","Melasaton",52.5407,8.4991
"8","Maxca",52.3071,8.7864
"9","Rove",51.7975,8.5109
"10","Aduba-6",52.0116,8.6764
"11","Asation",52.0657,8.7527
"12","Kailion",51.9977,8.7125
"13","Phraetiss",52.0231,8.4261
"14","Neelabi",51.8568,8.2111
"15","Tieos",52.2345,8.2317
"16","Bal'demnic",52.3985,8.4734
"17","Bak",51.6703,8.2201
"18","Shedu Maad",52.1871,8.0674
"19","Wukkar",51.9797,8.492
"20","Phlors Regina",52.2298,8.2958
"21","Ragnar VIII",51.9894,8.3745
"22","Shindra",52.1964,8.1026
"23","Somavva",51.7645,8.7357
"24","Archae Teuthis",52.3052,8.4463
"25","Yarrv",52.0925,8.4043
"26","World",52.5297,8.1213
"27","Myrkr",52.4444,8.6362
"28","Manress",51.9666,8.8182
"29","Joruna",51.6066,8.3353
"30","Woqua",52.3803,8.8641
"31","Tanalou",52.4547,8.326
"32","Durren",52.1913,8.944
"33","Pesmenben IV",52.4825,8.4537
"34","Cartao",52.2563,8.2947
"35","Fodurant",52.0361,8.4606
"36","Drup I",52.1856,8.2711
"37","Hraki",52.306,8.825
"38","Helska 5",52.2678,8.1554
"39","Tallek",51.6722,8.2422
"40","Vaenrood",51.7558,8.084
"41","Brath Qella",51.9215,8.3678
"42","Ova",52.4879,8.5827
"43","Rustibar",52.0535,8.8397
"44","Ques",52.2865,8.6891
"45","Axion",51.8032,8.0239
"46","Rampa II",51.7981,8.4131
"47","Javis",52.3132,8.0537
"48","Peridon's Folly",51.7992,8.7889
"49","Munlali Mafir",52.328,8.3768
"50","Tralus",51.8744,8.3045
"51","Saclas",52.2125,8.4389
"52","Jiaan",52.431,8.0552
"53","Maldra IV",51.9204,8.5053
"54","Odik II",51.7206,8.0839
"55","Demar",52.2628,8.6312
"56","Talesia",51.7659,8.6647
"57","Cyrillia",51.6747,8.2925
"58","Krylon",52.5635,8.2504
"59","Talesia",51.9191,8.198
"60","Gandle Ott",52.3369,8.5742
"61","Sirpar",51.959,7.9427
"62","Gumbus",51.8674,8.5023
"63","Rafa V",52.2283,8.6813
"64","Riileb",52.2639,7.923
"65","Yir Tangee",51.7588,8.1839
"66","Dalicron-4",52.6237,8.4551
"67","Pedducis Chorios",52.1186,8.0996
"68","Gruvia",52.4485,8.5756
"69","Zorb",51.9943,8.1876
"70","Daltarra",51.618,8.604
"71","Qiaxx",51.97,8.7173
"72","Orto",52.4198,8.742
"73","Mandalore",52.2235,8.3512
"74","Natinati",52.1236,7.9951
"75","Hythrope IV",52.4403,8.3188
"76","Polus",52.2103,8.419
"77","Corvis Minor III",52.1279,8.4083
"78","Zolan",52.4582,8.2404
"79","Carz",52.0615,8.0849
"80","Phlors Rex",51.9843,8.0474
"81","Turcan III",51.8477,8.8102
"82","Irmenu",51.9222,7.957
"83","Qretu 5",52.0184,7.9409
"84","Vannix",51.8523,8.1164
"85","Thosa",52.122,8.2373
"86","Trevi IV",51.7252,8.2651
"87","Lansono",51.7746,8.6515
"88","Mauk",51.8891,8.3642
"89","New Polokia",52.015,8.5176
"90","Crystan V",52.3554,8.32
"91","Kidron",52.2114,8.6809
"92","Ralme IV",52.4561,8.3876
"93","Gyosha",51.7329,8.6251
"94","Zolan",51.9711,8.6502
"95","Belsavis",52.3328,8.6629
"96","Holess",52.5607,8.2676
"97","Alpheridies",52.4449,8.7731
"98","Caltinia",51.8492,8.4847
"99","Dwor",52.0874,8.5733
"100","Cirra",51.9264,8.0539
"101","Taoska",51.9765,8.6831
"102","Trailia",51.538,8.2686
"103","Kordu",52.3005,8.2457
"104","Enaleh",52.3499,8.6049
"105","Scipio",52.1424,8.7354
"106","Ruuria",52.0205,8.1266
"107","Endex",51.8999,8.3315
"108","Telos IV",52.3687,8.6131
"109","Seftek",51.6426,8.547
"110","Duron",51.7944,8.4637
"111","Cerea",51.9437,8.4538
"112","Azure",51.8348,8.2715
"113","Iyuta",52.144,8.7901
"114","Pyros",51.8015,8.5489
"115","Clak'dor IV",52.1734,8.6267
"116","Ryyk",52.1511,8.7358
"117","Engira",52.4194,8.0155
"118","Thakwaa",52.1839,8.348
"119","Paramatan",52.1706,7.9511
"120","Aikhibba",51.9344,8.5221
"121","Kumru",52.2394,8.3261
"122","Corva Yag",52.4325,8.4254
"123","Ison",51.9939,8.1576
"124","Zaraksander",52.1229,8.542
"125","Voltare",52.136,8.2122
"126","Neona",52.1098,8.64
"127","Godsspire",51.7436,8.185
"128","Ank Ki'Shor",52.283,8.3906
"129","Rion",52.5152,8.3187
"130","Ripoblus",51.7343,8.5346
"131","Pella",52.1347,8.0402
"132","Dressel",51.8711,8.087
"133","Somavva",52.2393,8.4776
"134","Uhanayih",52.1895,8.0343
"135","Kar'a'katok",51.9259,8.2307
"136","Hern",52.3735,8.0839
"137","Agamar",52.0042,8.2411
"138","Karra",52.2713,8.8568
"139","Da'nor",52.3298,8.1208
"140","Bengat",52.4101,8.2012
"141","Carosi XII",52.1732,8.0053
"142","Kol Huro I",52.606,8.5506
"143","Medth",51.8432,8.6505
"144","Raxus Prime",52.3742,8.6922
"145","Belovia",51.6274,8.4422
"146","Yitheeth",51.9918,8.465
"147","Jentawui",52.1273,8.1484
"148","Alzar",52.1322,8.8597
"149","Er'stacia",52.5642,8.389
"150","Arcura",52.3816,8.2738
"151","Majilop",52.0937,8.7116
"152","Till Chorios",51.9507,8.3164
"153","Tatrang I",52.2797,8.1968
"154","Voon",52.2884,8.0282
"155","Nentan",51.7033,8.3671
"156","Kuar",52.0088,8.2867
"157","Gumbus",52.4223,8.2246
"158","Orinackra",51.8754,7.9573
"159","Sorotarr VI",51.993,8.5838
"160","Oblis",52.0711,8.632
"161","Vinsoth",51.9692,8.2434
"162","Vuzsa",52.2564,8.5025
"163","Secundus Ando",52.2423,8.81
"164","Ansarra",51.897,8.5816
"165","Lynaria",52.1808,8.6744
"166","Borleias",52.4351,8.3096
"167","Altratonne",51.6876,8.436
"168","Knolstee",52.1057,7.9178
"169","Uba V",52.0347,8.1347
"170","Aquilae",52.3616,8.497
"171","Thrago",52.021,8.7688
"172","Uba II",51.7872,8.1086
"173","Bazaar",51.8074,8.3516
"174","Talleles",52.6615,8.4057
"175","Woqua",52.1575,8.4755
